_id,meleid,sap,descripcion,linea
65f87eb98d297356122cbf54,1,LB-00000001,MICROONDA 1.4 PIE ACERO INOX. C/NEGRO MS402MADXBB SAMSUNG,Linea Blanca
65f87eb98d297356122cbf55,2,LB-00000006,MICROONDA 0.8 PIE ACERO INOX. C/NEGRO AME83M SAMSUNG,Linea Blanca
65f87eb98d297356122cbf56,3,LB-00000012,MICROONDA 1.0 PIE ACERO INOX. C/GRIS MG28F303TAS SAMSUNG,Linea Blanca
65f87eb98d297356122cbf57,4,LB-00000020,CAMPANA 24 PULG V/CURVO HYNC70VC7MZ HYUNDAI,Linea Blanca
65f87eb98d297356122cbf58,5,LB-00000022,CAMPANA 30 PULG V/CURVO HYNC80VC7MS HYUNDAI,Linea Blanca
65f87eb98d297356122cbf59,6,LB-00000023,CAMPANA 30 PULG V/RECTANG HYNC80VR7MW HYUNDAI,Linea Blanca
65f87eb98d297356122cbf5a,7,LB-00000033,HORNO ELECT. 65 CM A/INOX 9F HYNHE90FPT7C HYUNDAI,Linea Blanca
65f87eb98d297356122cbf5b,8,LB-00000076,SECADORA ELECT. 18 KG C/FRONTAL 220v 7MWED1800EM WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbf5c,9,LB-00000097,REFRIGERADOR 19 PIE BF ACERO INOX KRBL109ESS KITCHENAID,Linea Blanca
65f87eb98d297356122cbf5d,10,LB-00000098,REFRIGERADOR 19 PIE BF ACERO INOX KRBR109ESS KITCHENAID,Linea Blanca
65f87eb98d297356122cbf5e,11,LB-00000155,CONGELADOR VERTICAL INOX HYN19FV19SS HYUNDAI,Linea Blanca
65f87eb98d297356122cbf5f,12,LB-00000182,LAVAVAJILLAS 24 PULG 60 PZAS WDF330PAHS WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbf60,13,LB-00000195,MICROONDA 1.1 PIE C/NEGRO MC32K7055CT SAMSUNG,Linea Blanca
